"MADG","MAHOSO","MAKH","MANS","SO_SAO","NOI_DUNG","NGAY_DG","IS_HIDDEN"
"DG000001","HS001","KH001","NS001","5","Bác sĩ An khám rất kỹ, giải thích rõ ràng, thân thiện. Rất hài lòng!","2025-01-12 09:00:00","0"
"DG000002","HS002","KH002","NS002","4","Bác sĩ Bích chuyên nghiệp, tuy nhiên chờ hơi lâu.","2025-01-12 10:00:00","0"
"DG000003","HS003","KH003","NS001","5","Khám rất tỉ mỉ, tư vấn kính áp tròng phù hợp. Cảm ơn bác sĩ!","2025-01-13 08:30:00","0"
"DG000004","HS004","KH004","NS003","5","Bác sĩ Cường tư vấn kính lão rất hữu ích và kiên nhẫn.","2025-01-15 14:00:00","0"
"DG000005","HS006","KH006","NS001","4","Khám nhanh, giải thích tốt. Phòng chờ hơi đông.","2025-01-17 10:00:00","0"
"DG000006","HS007","KH007","NS003","5","Kê thuốc hiệu quả, mắt đỡ ngứa sau 3 ngày. Rất cảm ơn!","2025-01-18 09:00:00","0"
"DG000007","HS008","KH008","NS002","4","Tư vấn dinh dưỡng chi tiết, bổ ích.","2025-01-19 08:00:00","0"
"DG000008","HS009","KH009","NS001","5","Hướng dẫn đeo áp tròng rất tận tình, lần đầu mà không sợ.","2025-01-22 09:00:00","0"
"DG000009","HS011","KH011","NS001","3","Khám ok nhưng không được giải thích tại sao độ tăng. Cần cải thiện.","2025-01-25 10:00:00","0"
"DG000010","HS012","KH012","NS002","5","Bác sĩ giỏi, tư vấn kính đa tròng rất rõ ràng. Đã mua và rất vừa ý.","2025-01-26 11:00:00","0"
"DG000011","HS013","KH013","NS003","4","Thuốc hiệu quả, mắt đỡ đỏ sau 2 ngày.","2025-02-07 09:00:00","0"
"DG000012","HS014","KH014","NS001","5","Tái tục đơn nhanh, không cần chờ lâu.","2025-02-08 10:00:00","0"
"DG000013","HS016","KH001","NS001","5","Tái khám rất chu đáo, cập nhật đơn kính kịp thời.","2025-03-03 09:00:00","0"
"DG000014","HS017","KH005","NS002","4","Thuốc mỡ tra mắt hiệu quả tốt.","2025-03-12 14:00:00","0"
"DG000015","HS018","KH003","NS003","5","Kiểm tra áp tròng kỹ lưỡng, yên tâm hơn nhiều.","2025-03-22 10:00:00","0"
